wav_filename,wav_filesize,transcript,transcrip_size
/home/data/images/iam/lines/f07/f07-024a/f07-024a-08.png,16722,lifted urns,11
/home/data/images/iam/lines/j06/j06-030/j06-030-06.png,57472,known to make daytime,21
/home/data/images/iam/lines/p03/p03-163/p03-163-06.png,23916,to have an open quarrel,23
/home/data/images/iam/lines/f01/f01-135/f01-135-09.png,104081,mistaken belief that the,24
/home/data/images/iam/lines/j06/j06-030/j06-030-08.png,57693,rank as anomalous is the,24
/home/data/images/iam/lines/l07/l07-111/l07-111-10.png,59013,drove like a fiend along,24
/home/data/images/iam/lines/a02/a02-004/a02-004-10.png,46873,safeguard their interests,25
/home/data/images/iam/lines/r02/r02-060/r02-060-01.png,41343,more and came up with two,25
/home/data/images/iam/lines/h07/h07-028/h07-028-08.png,60835,shops at the heart of the,25
/home/data/images/iam/lines/h07/h07-030/h07-030-04.png,45173,experienced in commercial,25
/home/data/images/iam/lines/h07/h07-037/h07-037-08.png,63161,of towns and has added to,25
/home/data/images/iam/lines/j06/j06-030/j06-030-07.png,66257,occurrence at the surface,25
/home/data/images/iam/lines/n03/n03-113/n03-113-05.png,63404,surprised if we broke all,25
/home/data/images/iam/lines/p02/p02-008/p02-008-02.png,32585,the excitement of meeting,25
/home/data/images/iam/lines/p03/p03-004/p03-004-02.png,35247,gates and thought vagrant,25
/home/data/images/iam/lines/b06/b06-015/b06-015-06.png,56970,has secured agreements for,26
/home/data/images/iam/lines/e02/e02-025/e02-025-08.png,74557,made at the upper toe line,26
/home/data/images/iam/lines/e04/e04-079/e04-079-03.png,42419,a wooden floor you can use,26
/home/data/images/iam/lines/e04/e04-079/e04-079-08.png,52165,use a heavy old base as in,26
/home/data/images/iam/lines/f01/f01-135/f01-135-03.png,72776,encountering this tendency,26
/home/data/images/iam/lines/r02/r02-013/r02-013-06.png,49209,nue in an effort to obtain,26
/home/data/images/iam/lines/r02/r02-060/r02-060-09.png,62623,groping after wads of five,26
/home/data/images/iam/lines/h07/h07-028/h07-028-03.png,52622,on the town centres with a,26
/home/data/images/iam/lines/h07/h07-030/h07-030-03.png,50802,shopping area to companies,26
/home/data/images/iam/lines/l01/l01-030/l01-030-02.png,49747,look around for some other,26
/home/data/images/iam/lines/m01/m01-012/m01-012-09.png,103126,the heights beyond were in,26
/home/data/images/iam/lines/p06/p06-042/p06-042-06.png,97222,what might well be another,26
/home/data/images/iam/lines/a06/a06-152/a06-152-09.png,24828,expect the total to leap to,27
/home/data/images/iam/lines/b06/b06-053/b06-053-03.png,51791,between support for the war,27
/home/data/images/iam/lines/b06/b06-053/b06-053-09.png,56231,of organisational dominance,27
/home/data/images/iam/lines/c06/c06-080/c06-080-06.png,42479,been shot in and around the,27
/home/data/images/iam/lines/e04/e04-079/e04-079-01.png,43436,transoms to shape as in the,27
/home/data/images/iam/lines/g04/g04-003/g04-003-05.png,60955,said he had been stopped by,27
/home/data/images/iam/lines/j06/j06-030/j06-030-04.png,62450,group whose normal vertical,27
/home/data/images/iam/lines/j06/j06-034/j06-034-02.png,61812,result from active swimming,27
/home/data/images/iam/lines/j06/j06-056/j06-056-10.png,86678,with a suggestion that both,27
/home/data/images/iam/lines/k07/k07-185/k07-185-06.png,55293,and told him to get down to,27
/home/data/images/iam/lines/l07/l07-080/l07-080-07.png,51842,only have said such a thing,27
/home/data/images/iam/lines/l07/l07-080/l07-080-08.png,54970,because he did not know the,27
/home/data/images/iam/lines/l07/l07-111/l07-111-09.png,54847,with touching care and then,27
/home/data/images/iam/lines/m01/m01-160/m01-160-06.png,58705,relatively long doleful one,27
/home/data/images/iam/lines/p06/p06-047/p06-047-10.png,97675,he tore off the leaflet and,27
/home/data/images/iam/lines/a06/a06-110/a06-110-06.png,80754,we are necessarily bound for,28
/home/data/images/iam/lines/b05/b05-050/b05-050-07.png,26786,the pitch with their optical,28
/home/data/images/iam/lines/c06/c06-106/c06-106-09.png,61039,is an academic friend of her,28
/home/data/images/iam/lines/c06/c06-138/c06-138-01.png,93837,style all the more tellingly,28
/home/data/images/iam/lines/e02/e02-025/e02-025-04.png,89092,this case it is necessary to,28
/home/data/images/iam/lines/r02/r02-013/r02-013-07.png,49850,tax relief for a jacket used,28
/home/data/images/iam/lines/h04/h04-028/h04-028-06.png,67256,gradients being steepest for,28
/home/data/images/iam/lines/h07/h07-025/h07-025-10.png,66265,to allow for shoppers coming,28
/home/data/images/iam/lines/h07/h07-028/h07-028-02.png,69308,towns tending to rely mainly,28
/home/data/images/iam/lines/h07/h07-028/h07-028-06.png,61793,ones providing neighbourhood,28
/home/data/images/iam/lines/h07/h07-037/h07-037-03.png,64115,initial fears of some of the,28
/home/data/images/iam/lines/h07/h07-037/h07-037-04.png,66607,shopkeepers that their trade,28
/home/data/images/iam/lines/k02/k02-076/k02-076-05.png,46233,get to know the kind of life,28
/home/data/images/iam/lines/l01/l01-065/l01-065-03.png,69648,have been mistaken about the,28
/home/data/images/iam/lines/m01/m01-136/m01-136-02.png,54654,communication and of a vague,28
/home/data/images/iam/lines/n03/n03-106/n03-106-03.png,41610,mine seems to know how to do,28
/home/data/images/iam/lines/p06/p06-042/p06-042-08.png,103670,he put back his professional,28
/home/data/images/iam/lines/p06/p06-047/p06-047-02.png,60095,will contact your new doctor,28
/home/data/images/iam/lines/a03/a03-059/a03-059-06.png,46611,committees examining subjects,29
/home/data/images/iam/lines/b06/b06-027/b06-027-01.png,107095,reported to be halfway toward,29
/home/data/images/iam/lines/c06/c06-138/c06-138-02.png,94605,points up not only the horror,29
/home/data/images/iam/lines/e02/e02-025/e02-025-01.png,77136,the top member of the toe are,29
/home/data/images/iam/lines/e02/e02-025/e02-025-05.png,91842,mark in the line of the taper,29
/home/data/images/iam/lines/e04/e04-079/e04-079-06.png,59938,frame that will sit firmly on,29
/home/data/images/iam/lines/f01/f01-135/f01-135-07.png,95643,and this feeling of queerness,29
/home/data/images/iam/lines/f01/f01-135/f01-135-08.png,116222,usually boils down to a quite,29
/home/data/images/iam/lines/g04/g04-088/g04-088-08.png,38258,stamp which could be stuck in,29
/home/data/images/iam/lines/g06/g06-011n/g06-011n-03.png,31233,health permitted him to enjoy,29
/home/data/images/iam/lines/g06/g06-042o/g06-042o-06.png,71087,known as homoeopathy had been,29
/home/data/images/iam/lines/h01/h01-030/h01-030-01.png,57907,this head will not affect the,29
/home/data/images/iam/lines/h06/h06-092/h06-092-07.png,55844,hopper from which the sand is,29
/home/data/images/iam/lines/h07/h07-025/h07-025-07.png,76234,estimated need of about eight,29
/home/data/images/iam/lines/h07/h07-028/h07-028-05.png,68596,neighbourhoods and the larger,29
/home/data/images/iam/lines/h07/h07-033/h07-033-04.png,58465,reasonable degree of economic,29
/home/data/images/iam/lines/j04/j04-080/j04-080-07.png,31429,hour and a half days if it is,29
/home/data/images/iam/lines/j06/j06-018/j06-018-10.png,77314,incidence of migration in the,29
/home/data/images/iam/lines/j06/j06-026/j06-026-02.png,50399,finmarchicus in the summer at,29
/home/data/images/iam/lines/j06/j06-051/j06-051-07.png,80116,primary dependence of diurnal,29
/home/data/images/iam/lines/j06/j06-056/j06-056-05.png,73841,alone can provide an adequate,29
/home/data/images/iam/lines/k07/k07-185/k07-185-10.png,58933,him a membership ticket for a,29
/home/data/images/iam/lines/l07/l07-080/l07-080-05.png,59296,how much the idea appealed to,29
/home/data/images/iam/lines/m01/m01-136/m01-136-01.png,63585,impatience pending an awaited,29
/home/data/images/iam/lines/m04/m04-093/m04-093-08.png,52513,very moment when we should be,29
/home/data/images/iam/lines/n03/n03-103/n03-103-09.png,71635,the yawl up against the waves,29
/home/data/images/iam/lines/n03/n03-113/n03-113-02.png,48614,drag the boat ashore and turn,29
/home/data/images/iam/lines/p03/p03-004/p03-004-01.png,34538,new seat outside the hospital,29
/home/data/images/iam/lines/p03/p03-096/p03-096-08.png,22077,the housemen think of me as a,29
/home/data/images/iam/lines/a03/a03-009/a03-009-07.png,35446,to the whole uncommitted world,30
/home/data/images/iam/lines/a06/a06-095/a06-095-07.png,99332,impetus and an economic growth,30
/home/data/images/iam/lines/a06/a06-114/a06-114-08.png,58340,the spending spree is at a new,30
/home/data/images/iam/lines/b06/b06-053/b06-053-06.png,62854,basic effort to improve living,30
/home/data/images/iam/lines/b06/b06-053/b06-053-10.png,60138,established during their years,30
/home/data/images/iam/lines/b06/b06-093/b06-093-01.png,33162,end the manufacture and use of,30
/home/data/images/iam/lines/c06/c06-043/c06-043-01.png,44643,seizure and was gravely ill in,30
/home/data/images/iam/lines/e02/e02-091/e02-091-06.png,66432,cabinet work the necessity for,30
/home/data/images/iam/lines/g06/g06-045n/g06-045n-07.png,29653,treated under a doctor who had,30
/home/data/images/iam/lines/g06/g06-045o/g06-045o-07.png,50315,a doctor who had studied under,30
/home/data/images/iam/lines/h01/h01-030/h01-030-03.png,64889,but will be used solely in the,30
/home/data/images/iam/lines/h01/h01-030/h01-030-04.png,68214,analysis of households by size,30
/home/data/images/iam/lines/h01/h01-030/h01-030-07.png,70150,preparations consideration was,30
/home/data/images/iam/lines/h02/h02-037/h02-037-08.png,29784,ascertained that sometimes the,30
/home/data/images/iam/lines/h04/h04-028/h04-028-04.png,77486,the highest average prices and,30
/home/data/images/iam/lines/h06/h06-085/h06-085-08.png,60427,danger zone and is then pushed,30
/home/data/images/iam/lines/h06/h06-096/h06-096-03.png,48718,passes on through two pairs of,30
/home/data/images/iam/lines/h07/h07-025/h07-025-02.png,76713,been to provide employment for,30
/home/data/images/iam/lines/h07/h07-025/h07-025-06.png,69478,has generally been based on an,30
/home/data/images/iam/lines/h07/h07-030/h07-030-01.png,60092,have sought to attract private,30
/home/data/images/iam/lines/j06/j06-022/j06-022-09.png,80847,longimanus also remains at one,30
/home/data/images/iam/lines/j06/j06-026/j06-026-03.png,73143,the surface in bright sunlight,30
/home/data/images/iam/lines/j06/j06-030/j06-030-05.png,72400,migration is sufficiently well,30
/home/data/images/iam/lines/j06/j06-034/j06-034-06.png,56035,transport in vertical currents,30
/home/data/images/iam/lines/l01/l01-065/l01-065-07.png,79257,at least half an hour late for,30
/home/data/images/iam/lines/l07/l07-085/l07-085-07.png,56901,your mind for you one of these,30
/home/data/images/iam/lines/m01/m01-049/m01-049-07.png,60106,and walked on the very tips of,30
/home/data/images/iam/lines/m01/m01-110/m01-110-07.png,37616,may be able to promote our own,30
/home/data/images/iam/lines/m02/m02-075/m02-075-04.png,53464,as soon as he had spoken a few,30
/home/data/images/iam/lines/m04/m04-107/m04-107-07.png,96375,regarded this possibility with,30
/home/data/images/iam/lines/n02/n02-054/n02-054-01.png,64191,to understand all the whys and,30
/home/data/images/iam/lines/a01/a01-132/a01-132-01.png,27418,development being limited or an,31
/home/data/images/iam/lines/b06/b06-019/b06-019-08.png,79850,compared with four divisions of,31
/home/data/images/iam/lines/b06/b06-027/b06-027-09.png,140356,a great disturbance last autumn,31
/home/data/images/iam/lines/b06/b06-053/b06-053-01.png,52715,if we have then by our practice,31
/home/data/images/iam/lines/b06/b06-064/b06-064-08.png,49927,for a campaign against weak and,31
/home/data/images/iam/lines/b06/b06-100/b06-100-02.png,44796,will not keep us abreast of the,31
/home/data/images/iam/lines/c02/c02-030/c02-030-06.png,55123,succeeded in his second film in,31
/home/data/images/iam/lines/g06/g06-026b/g06-026b-07.png,23871,assumption of the government by,31
/home/data/images/iam/lines/g06/g06-037b/g06-037b-05.png,24701,a new chapter in the history of,31
/home/data/images/iam/lines/g06/g06-042b/g06-042b-06.png,59632,homoeopathy had been brought to,31
/home/data/images/iam/lines/g06/g06-042m/g06-042m-05.png,26062,method known as homoeopathy had,31
/home/data/images/iam/lines/r02/r02-006/r02-006-08.png,22133,to a depreciation tax allowance,31
/home/data/images/iam/lines/r06/r06-062/r06-062-05.png,62544,heat and cold like the hands of,31
/home/data/images/iam/lines/r06/r06-062/r06-062-08.png,56655,beech and the thin pine fingers,31
/home/data/images/iam/lines/r06/r06-115/r06-115-08.png,57018,frowning face as she turned the,31
/home/data/images/iam/lines/g06/g06-018n/g06-018n-06.png,40202,this place agree with me better,31
/home/data/images/iam/lines/g07/g07-038/g07-038-04.png,25130,hundred reasons why it would be,31
/home/data/images/iam/lines/h07/h07-028/h07-028-07.png,61321,centres of up to thirty or more,31
/home/data/images/iam/lines/h07/h07-030/h07-030-05.png,78869,development who have undertaken,31
/home/data/images/iam/lines/h07/h07-030/h07-030-06.png,70057,the building and letting of the,31
/home/data/images/iam/lines/h07/h07-033/h07-033-01.png,65278,secures a balanced distribution,31
/home/data/images/iam/lines/h07/h07-037/h07-037-07.png,62801,has been introduced in a number,31
/home/data/images/iam/lines/h07/h07-037/h07-037-09.png,74587,the interest of the town centre,31
/home/data/images/iam/lines/h07/h07-044a/h07-044a-04.png,51520,commercial development that the,31
/home/data/images/iam/lines/h07/h07-044a/h07-044a-06.png,55609,high costs of main sewerage and,31
/home/data/images/iam/lines/j04/j04-098/j04-098-09.png,52987,were evaporated to dryness with,31
/home/data/images/iam/lines/j06/j06-018/j06-018-08.png,74126,appear to remain permanently at,31
/home/data/images/iam/lines/j06/j06-030/j06-030-10.png,100195,records of euphausiids swimming,31
/home/data/images/iam/lines/j06/j06-034/j06-034-01.png,63181,vertical migrations undoubtedly,31
/home/data/images/iam/lines/j06/j06-034/j06-034-04.png,81835,the water has been suggested on,31
/home/data/images/iam/lines/l07/l07-118/l07-118-01.png,75320,and helped me out with the same,31
/home/data/images/iam/lines/m01/m01-012/m01-012-02.png,77288,by degrees the rotating objects,31
