wav_filename,wav_filesize,transcript,transcrip_size
/home/data/images/iam/lines/f01/f01-135/f01-135-09.png,104081,mistaken belief that the,24
/home/data/images/iam/lines/a02/a02-004/a02-004-10.png,46873,safeguard their interests,25
/home/data/images/iam/lines/r02/r02-060/r02-060-01.png,41343,more and came up with two,25
/home/data/images/iam/lines/b06/b06-015/b06-015-06.png,56970,has secured agreements for,26
/home/data/images/iam/lines/e02/e02-025/e02-025-08.png,74557,made at the upper toe line,26
/home/data/images/iam/lines/e04/e04-079/e04-079-03.png,42419,a wooden floor you can use,26
/home/data/images/iam/lines/e04/e04-079/e04-079-08.png,52165,use a heavy old base as in,26
/home/data/images/iam/lines/f01/f01-135/f01-135-03.png,72776,encountering this tendency,26
/home/data/images/iam/lines/r02/r02-013/r02-013-06.png,49209,nue in an effort to obtain,26
/home/data/images/iam/lines/r02/r02-060/r02-060-09.png,62623,groping after wads of five,26
/home/data/images/iam/lines/a06/a06-152/a06-152-09.png,24828,expect the total to leap to,27
/home/data/images/iam/lines/b06/b06-053/b06-053-03.png,51791,between support for the war,27
/home/data/images/iam/lines/b06/b06-053/b06-053-09.png,56231,of organisational dominance,27
/home/data/images/iam/lines/c06/c06-080/c06-080-06.png,42479,been shot in and around the,27
/home/data/images/iam/lines/e04/e04-079/e04-079-01.png,43436,transoms to shape as in the,27
/home/data/images/iam/lines/g04/g04-003/g04-003-05.png,60955,said he had been stopped by,27
/home/data/images/iam/lines/a06/a06-110/a06-110-06.png,80754,we are necessarily bound for,28
/home/data/images/iam/lines/b05/b05-050/b05-050-07.png,26786,the pitch with their optical,28
/home/data/images/iam/lines/c06/c06-106/c06-106-09.png,61039,is an academic friend of her,28
/home/data/images/iam/lines/c06/c06-138/c06-138-01.png,93837,style all the more tellingly,28
/home/data/images/iam/lines/e02/e02-025/e02-025-04.png,89092,this case it is necessary to,28
/home/data/images/iam/lines/r02/r02-013/r02-013-07.png,49850,tax relief for a jacket used,28
/home/data/images/iam/lines/a03/a03-059/a03-059-06.png,46611,committees examining subjects,29
/home/data/images/iam/lines/b06/b06-027/b06-027-01.png,107095,reported to be halfway toward,29
/home/data/images/iam/lines/c06/c06-138/c06-138-02.png,94605,points up not only the horror,29
/home/data/images/iam/lines/e02/e02-025/e02-025-01.png,77136,the top member of the toe are,29
/home/data/images/iam/lines/e02/e02-025/e02-025-05.png,91842,mark in the line of the taper,29
/home/data/images/iam/lines/e04/e04-079/e04-079-06.png,59938,frame that will sit firmly on,29
/home/data/images/iam/lines/f01/f01-135/f01-135-07.png,95643,and this feeling of queerness,29
/home/data/images/iam/lines/f01/f01-135/f01-135-08.png,116222,usually boils down to a quite,29
/home/data/images/iam/lines/g04/g04-088/g04-088-08.png,38258,stamp which could be stuck in,29
/home/data/images/iam/lines/a03/a03-009/a03-009-07.png,35446,to the whole uncommitted world,30
